marca,modelo,numero_serie,estado,ubicacion,numero_factura,fecha_compra,fecha_vencimiento_garantia,costo
DELL,LATITUDE 3440,C8R7B24,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
DELL,LATITUDE 3440,9FR7B24,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,COMPAQ 4300 SFF,MXL32815LF,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
AIRFLOW,AIRFLOW 3000D MRPC,A648C34410FQ3M,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
DELL,INSPIRON 15 3520,5B03854,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
DELL,INSPIRON 15 3520,HYRC854,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
DELL,INSPIRON 15 3520,6K5F854,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
ASUS,"TUF GAMING A 15 FA506N
",S5NRCX021082205,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
ASUS,"TUF GAMING A 15 FA506N
",S5NRCX02107620F,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,15-EF2519LA,5CD30524JF,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,Z BOOK FIREFLY 16 G11,2MQ4600MMC,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,245 G7 NOTEBOOK PC,5CG1075D3J,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,255 G10,5CG1075D3J,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
AOURUS,AORUS C300 GB -AC300G BOARD B760M,2.04835E+11,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
HP,ZBOOK FIREFLY 14 G11,2MQ51600SV,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
ASUS,EXPERTBOOK BM1403CDA,T6NXCV03J273232,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
ASUS,EXPERTBOOK BM1403CDA,T6NXCV03J275239,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
"JANUS

",JANUS-RD855,S/N 220331623363,Bueno,Oficina Principal,***,1/15/2023,1/14/2028,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
